Source;original;reasons for modication;ID;Used constraint;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB
1;A claim should be created before it can be approved or rejected.;Student un-involved in our approach generated and searched for various syntactic descriptions of the same constraint. Applies to constraints 1 to 19;0;A claim should be created, before it can be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;1;A claim must be created, before it is approved.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;2;When a claim is created, it may be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;3;If a claim is created, it can be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;4;They have to create the claim, before they can approve it.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;5;Only after a claim is created, it is possible to approve the claim.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;6;If a claim is approved, then it must have been created first.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;7;To approve a claim, it should be created first.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;8;A claim can be approved, after it has been created.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;9;Approving the claim can happen at anytime, unless it still needs to be created.;1;FALSE;precedence;create claim;approve claim;;;;;;
1;;see 0;10;Creation of the claim is required, before it can be approved.;1;FALSE;precedence;creation claim;approve claim;;;;;;
1;;see 0;11;The creation of the claim is a condition for the approval of the claim.;1;FALSE;precedence;creation claim;approval claim;;;;;;
1;;see 0;12;Only after the creation of a claim, the approval of the claim is possible.;1;FALSE;precedence;creation claim;approval claim;;;;;;
1;;see 0;13;When approval of the claim occurs, creation of the claim must have preceded.;1;FALSE;precedence;creation claim;approval claim;;;;;;
1;;see 0;14;If approval of the claim occurs, then creation of the claim must have been carried out first.;1;FALSE;precedence;creation claim;approval claim;;;;;;
1;;see 0;15;The approval of the claim requires that the creation of the claim occurs before it.;1;FALSE;precedence;creation claim;approval claim;;;;;;
1;;see 0;16;The approval of the claim should be preceded by the creation of the claim.;1;FALSE;precedence;creation claim;approval claim;;;;;;
1;;n/a;17;A claim must be created, before it can be approved or rejected.;2;FALSE;precedence;create claim;approve claim;precedence;create claim;reject claim;;;
1;A claim should be approved before it can be paid out.;n/a;18;A claim should be approved before it can be paid out.;1;FALSE;precedence;approve claim;pay claim;;;;;;
1;Once a claim has been approved, it should eventually be paid out.;n/a;19;Once a claim has been approved, it should eventually be paid out.;1;FALSE;response;approve claim;pay claim;;;;;;
1;Once a claim has been rejected, it should not be paid out.;n/a;21;Once a claim has been rejected, it should not be paid out.;1;TRUE;succession;reject claim;pay claim;;;;;;
1;Payout should end the process and therefor exclude everything.;n/a (aside from spelling mistake in therefor);22;Payout should end the process and therefore exclude everything.;1;FALSE;end;payout;;;;;;;
1;Case closed manually, can happen at any time, unless we still need to pay out the claim.;changed synthetic labels to proper sentence;23;A case can be closed manually at any time, unless we still need to pay out the claim.;1;FALSE;precedence;pay out claim;case closed manually;;;;;;
2;The case can be managed at the union, LO and DA after it has been created.;Omitted unspecified actor abbreviations DA and LO to allow parser to improve parser accuracy ;25;The case can be managed at the union after it has been created.;1;FALSE;precedence;create case;manage case;;;;;;
2;After a case is created, LO can and must arrange a meeting between the union case worker, the LO case worker and the DA case worker.;Omitted unspecified actor abbreviations DA and LO to allow parser to improve parser accuracy ;26;After a case is created, management can and must arrange a meeting between the union case worker and the other case worker.;1;FALSE;response;create case;arrange meeting;;;;;;
2;After a meeting is arranged it must be held (organized by LO).;Removed additional information within brackets to clean up constraint;27;After a meeting is arranged it must be held.;1;FALSE;response;arrange meeting;hold meeting;;;;;;
2;To create a case, the case worker should enter metadata on the case, inform about when he/she is available for participating in a meeting and then submit the case.;n/a;28;The case worker should enter metadata on the case, inform about when he is available for participating in a meeting and then submit the case.;2;FALSE;succession;enter metadata;inform;succession;inform;submit case;;;
2;When a case is submitted it may get a local id at the union, but it should also subsequently be assigned a case id in LO.;n/a;29;When a case is submitted it may get a local id at the union, but it should also subsequently be assigned a case id in LO.;2;FALSE;precedence;submit case;get local id;response;submit case;assign case id;;;
2;When a case is submitted, LO should eventually propose dates.;n/a;30;When a case is submitted, LO should eventually propose dates.;1;FALSE;response;submit case;propose dates;;;;;;
2;Only after LO has assigned its case id it is possible to manage the case and for LO to propose dates.;n/a;31;Only after LO has assigned its case id it is possible to manage the case and for LO to propose dates.;2;FALSE;precedence;assign case id;manage case;precedence;assign case id;propose dates;;;
2;Once a date has been agreed upon a meeting should eventually be held.;n/a;32;Once a date has been agreed upon a meeting should eventually be held.;1;FALSE;response;agree date;hold meeting;;;;;;
6;Every process instance starts by examining a patient.;n/a;33;Every process instance starts by examining a patient.;1;FALSE;init;examine patient;;;;;;;
6;If an x-ray is taken, then the x-ray risk must be checked before it;cut second part since we do not currently consider alternate constraints;34;If an x-ray is taken, then the x-ray risk must be checked before it;1;FALSE;precedence;check x-ray risk;perform x-ray risk;;;;;;
6;Perform reposition, Apply cast and Perform surgery require that Perform X-ray occurs before they are executed.;changed synthetic labels to proper sentence;35;Performing a reposition, applying a cast and performing surgery require that x-rays are performed before.;3;FALSE;precedence;perform x-ray;perform reposition;precedence;perform x-ray;apply cast;precedence;perform x-ray;perform surgery
6;If a surgery is performed, then prescription of rehabilitation occurs eventually after it.;n/a;36;If a surgery is performed, then prescription of rehabilitation occurs eventually after it.;1;FALSE;response;perform surgery;prescribe rehabilitation;;;;;;
6;After a cast is applied, eventually the cast is removed and vice versa, before every removal of a cast, a cast must be applied.;n/a;37;After a cast is applied, eventually the cast is removed and vice versa, before every removal of a cast, a cast must be applied.;1;FALSE;succession;apply cast;remove cast;;;;;;
3;The process begins with the booking of the ticket;n/a;38;The process begins with the booking of the ticket;1;FALSE;init;book ticket;;;;;;;
3;Personal information of passengers can be provided after the booking of the ticket;n/a;39;Personal information of passengers can be provided after the booking of the ticket;1;FALSE;precedence;book ticket;provide personal information;;;;;;
3;The payment of the ticket triggers the completion of the booking phase.;n/a;40;The payment of the ticket triggers the completion of the booking phase.;1;FALSE;response;payment ticket;booking phase completion;;;;;;
3;The payment of the ticket is eventually followed by the actual transfer of money;n/a;41;The payment of the ticket is eventually followed by the actual transfer of money;1;FALSE;response;payment ticket;money transfer;;;;;;
3;As long as the Check-in of the flight does not take place, the customers can still modify the provided data to change;n/a;42;As long as the Check-in of the flight does not take place, the customers can still modify the provided data to change;1;TRUE;succession;check-in flight;modify provided data;;;;;;
3;After check-in of the flight, only the cancellation is admitted;n/a;43;After check-in of the flight, only the cancellation is admitted;1;FALSE;precedence;check-in flight;cancellation;;;;;;
1;The process starts when an invoice is received by the administration department.;n/a;44;The process starts when an invoice is received by the administration department.;1;FALSE;init;receive invoice;;;;;;;
1;If they decide that the invoice appears legit then they enter all relevant data into the system, in particular the amount the invoice is for, which is used by the workflow system to determine whose approval is needed for the invoice.;trimmed additional information;46;If they decide that the invoice appears legit then they enter all relevant data into the system;1;FALSE;response;decide invoice legit;enter all relevant data;;;;;;
1;When all necessary approvals have been received the invoice can be paid.;n/a;48;When all necessary approvals have been received the invoice can be paid.;1;FALSE;precedence;receive all necessary approvals;pay invoice;;;;;;
1;Once payment is confirmed, the invoice case should be closed.;n/a;49;Once payment is confirmed, the invoice case should be closed.;1;FALSE;response;confirm payment;close case;;;;;;
1;Receive invoice is required before the administration department can execute Enter data or Scan invoice.;changed synthetic labels to proper sentence;50;The receipt of an invoice is required before the administration department can enter data or scan the invoice.;2;FALSE;precedence;receipt of an invoice;enter data;precedence;receipt of an invoice;scan invoice;;;
1;Enter data is required before any approval can be given.;n/a;51;Enter data is required before any approval can be given.;1;FALSE;precedence;enter data;give approval;;;;;;
1;Finally, we have to pay the invoice before we can confirm payment.;n/a;52;Finally, we have to pay the invoice before we can confirm payment.;1;FALSE;precedence;pay invoice;confirm payment;precedence;reice invoice;scan invoice;;;
4;If a request is sent, then a proposal is expected to be prepared afterwards;n/a;53;If a request is sent, then a proposal is expected to be prepared afterwards;1;FALSE;response;send request;prepare proposal;;;;;;
4;A confirmation is supposed to be mandatorily given after the proposal, and vice-versa any proposal is expected to precede a confirmation ;n/a;54;A confirmation is supposed to be mandatorily given after the proposal, and vice-versa any proposal is expected to precede a confirmation ;1;FALSE;succession;give confirmation;proposal;;;;;;
5;"Every process instance has to start with activity ""register client data""";changed synthetic labels to proper sentence;55;Every process instance has to start by registering client data;1;FALSE;init;register client data;;;;;;;
5;Every –room service” must be billed.;changed synthetic labels to proper sentence;56;Every provided room service must be billed.;1;FALSE;response;provide room service;bill;;;;;;
5;Every –laundry service” must be billed.;changed synthetic labels to proper sentence;57;Every provided laundry service must be billed;1;FALSE;response;provide laundry service;bill;;;;;;
5;"When the client –checks-out” the bill must be ""charged""";changed synthetic labels to proper sentence;58;When the client leaves, the bill must be charged;1;FALSE;response;leave;charge bill;;;;;;
