collection;Source;original;reasons for modication;ID;Used constraint;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB;;;;;;;;;
2;1;A claim should be created before it can be approved or rejected.;Student un-involved in our approach generated and searched for various syntactic descriptions of the same constraint. Applies to constraints 1 to 19;0;A claim should be created, before it can be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;1;A claim must be created, before it is approved.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;2;When a claim is created, it may be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;3;If a claim is created, it can be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;4;They have to create the claim, before they can approve it.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;5;Only after a claim is created, it is possible to approve the claim.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;6;If a claim is approved, then it must have been created first.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;7;To approve a claim, it should be created first.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;8;A claim can be approved, after it has been created.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;9;Approving the claim can happen at anytime, unless it still needs to be created.;1;FALSE;precedence;create claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;10;Creation of the claim is required, before it can be approved.;1;FALSE;precedence;creation claim;approve claim;;;;;;;;;;;;;;;
2;1;;see 0;11;The creation of the claim is a condition for the approval of the claim.;1;FALSE;precedence;creation claim;approval claim;;;;;;;;;;;;;;;
2;1;;see 0;12;Only after the creation of a claim, the approval of the claim is possible.;1;FALSE;precedence;creation claim;approval claim;;;;;;;;;;;;;;;
2;1;;see 0;13;When approval of the claim occurs, creation of the claim must have preceded.;1;FALSE;precedence;creation claim;approval claim;;;;;;;;;;;;;;;
2;1;;see 0;14;If approval of the claim occurs, then creation of the claim must have been carried out first.;1;FALSE;precedence;creation claim;approval claim;;;;;;;;;;;;;;;
2;1;;see 0;15;The approval of the claim requires that the creation of the claim occurs before it.;1;FALSE;precedence;creation claim;approval claim;;;;;;;;;;;;;;;
2;1;;see 0;16;The approval of the claim should be preceded by the creation of the claim.;1;FALSE;precedence;creation claim;approval claim;;;;;;;;;;;;;;;
1;1;;n/a;17;A claim must be created, before it can be approved or rejected.;2;FALSE;precedence;create claim;approve claim;precedence;create claim;reject claim;;;;;;;;;;;;
1;1;A claim should be approved before it can be paid out.;n/a;18;A claim should be approved before it can be paid out.;1;FALSE;precedence;approve claim;pay claim;;;;;;;;;;;;;;;
1;1;Once a claim has been approved, it should eventually be paid out.;n/a;19;Once a claim has been approved, it should eventually be paid out.;1;FALSE;response;approve claim;pay claim;;;;;;;;;;;;;;;
1;1;Once a claim has been rejected, it should not be paid out.;n/a;20;Once a claim has been rejected, it should not be paid out.;1;TRUE;succession;reject claim;pay claim;;;;;;;;;;;;;;;
1;1;Payout should end the process and therefor exclude everything.;n/a (aside from spelling mistake in therefor);21;Payout should end the process and therefore exclude everything.;1;FALSE;end;payout;;;;;;;;;;;;;;;;
1;1;Case closed manually, can happen at any time, unless we still need to pay out the claim.;changed synthetic labels to proper sentence;22;A case can be closed manually at any time, unless we still need to pay out the claim.;1;FALSE;precedence;pay out claim;case closed manually;;;;;;;;;;;;;;;
1;2;The case can be managed at the union, LO and DA after it has been created.;Omitted unspecified actor abbreviations DA and LO to allow parser to improve parser accuracy ;23;The case can be managed at the union after it has been created.;1;FALSE;precedence;create case;manage case;;;;;;;;;;;;;;;
1;2;After a case is created, LO can and must arrange a meeting between the union case worker, the LO case worker and the DA case worker.;Omitted unspecified actor abbreviations DA and LO to allow parser to improve parser accuracy ;24;After a case is created, management can and must arrange a meeting between the union case worker and the other case worker.;1;FALSE;response;create case;arrange meeting;;;;;;;;;;;;;;;
1;2;After a meeting is arranged it must be held (organized by LO).;Removed additional information within brackets to clean up constraint;25;After a meeting is arranged it must be held.;1;FALSE;response;arrange meeting;hold meeting;;;;;;;;;;;;;;;
1;2;To create a case, the case worker should enter metadata on the case, inform about when he/she is available for participating in a meeting and then submit the case.;n/a;26;The case worker should enter metadata on the case, inform about when he is available for participating in a meeting and then submit the case.;2;FALSE;succession;enter metadata;inform;succession;inform;submit case;;;;;;;;;;;;
1;2;When a case is submitted it may get a local id at the union, but it should also subsequently be assigned a case id in LO.;n/a;27;When a case is submitted it may get a local id at the union, but it should also subsequently be assigned a case id in LO.;2;FALSE;precedence;submit case;get local id;response;submit case;assign case id;;;;;;;;;;;;
1;2;When a case is submitted, LO should eventually propose dates.;n/a;28;When a case is submitted, LO should eventually propose dates.;1;FALSE;response;submit case;propose dates;;;;;;;;;;;;;;;
